pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
jacksre01,,,"$1,243,080","$1,156,320","$2,204,370","$1,260,360",,,,,
pricero01,"$1,380,000","$1,250,000",,"$1,069,509","$1,316,809","$1,265,977","$1,100,000","$1,188,000","$398,762","$664,209",
humphry01,,,,,,,,,,,"$1,223,160"
whiteha01,"$730,437",,,"$762,195","$769,881",,,,,,
biedran01,"$9,000,000","$9,000,000","$9,000,000","$9,000,000",,"$9,000,000","$2,636,696","$9,000,000","$1,857,360","$1,986,960","$1,727,760"
collini01,"$13,250,000","$6,250,000","$2,929,332","$3,272,997","$2,242,003","$2,585,668","$5,750,000","$6,350,000","$1,815,000","$2,501,070","$1,969,680"
sweetmi01,,,,,,,,,"$2,116,920","$2,696,956","$1,978,920"
nedovne01,,,,,"$1,104,240","$1,056,720",,,,,
rautian01,"$600,000",,,"$788,872",,,,,,,
dawsoer01,,,,"$38,172",,,,,,,
tylerje01,,,"$762,195","$650,000",,"$100,000",,,,,
gordobe01,"$10,800,000","$10,000,000","$12,400,000","$11,600,000","$4,500,000","$13,200,000","$4,881,669","$6,404,750","$3,610,200","$3,862,080","$3,358,320"
palacmi01,,,,,,,,,"$1,400,000",,"$807,546"
handlbe01,,,,,,,,,"$35,091",,
brownsh01,"$2,200,000","$2,000,000","$3,500,000","$3,500,000",,"$3,500,000","$1,044,120","$797,581",,"$971,280",
derozde01,"$2,453,880","$2,282,640","$3,344,250","$2,625,000","$9,500,000","$9,500,000",,,,,
harriel01,,,,,,,,,,,
catoke01,,,,,,,,,"$8,640,000","$1,071,225","$7,992,000"
holliry01,"$2,333,333","$2,183,333","$1,069,509","$2,483,333","$1,316,809","$1,186,459","$687,456","$972,581",,"$412,718",
thomaet01,"$1,223,166","$7,350,000",,,,,"$6,373,900","$6,864,200","$5,393,300","$5,883,600","$4,903,000"
gadzuda01,"$7,248,325","$6,749,260",,,,,"$5,751,130","$6,250,195","$4,750,000","$5,252,065","$695,046"
pargoja01,,"$2,000,000","$115,122","$1,223,166","$1,448,490","$1,399,507","$1,830,000",,"$895,248","$1,000,000","$695,046"
villach01,"$7,020,000","$6,500,000","$8,060,000","$7,540,000","$1,316,809","$8,580,000","$2,715,000","$3,448,050","$2,360,880","$2,537,880",
willite01,"$2,214,480","$2,060,040","$296,776","$2,369,040",,,,,,,
smithst01,,,,,,,,,,,"$1,100,000"
cleavma01,,,,,,,,,"$305,784",,"$735,960"
smithst03,,,,,,,,,,"$161,061",
melofa01,,,"$1,254,720",,"$437,080","$788,872",,,,,
colemde01,,,,,,,,,"$2,000,000",,"$4,500,000"
noahjo01,"$3,128,536","$2,455,680","$11,300,000","$12,000,000","$12,200,000","$11,100,000","$2,135,400","$2,295,480",,,
harrilu01,,,,,,,,,,,"$2,500,000"
ukicro01,,"$303,232",,,,,,"$1,250,000",,,
headlu01,"$992,680","$884,881",,,,,"$1,122,000","$1,962,378","$975,600","$1,048,800",
jeffedo01,,,,,,,,,,,
boshch01,"$14,500,000","$15,779,912","$17,545,000","$16,022,500","$20,644,400","$19,067,500","$12,455,000","$14,410,581","$3,348,000","$4,235,220","$3,129,720"
